0.816026, 0.0640249, 0.0673528
1.58698, 0.0370389, 0.0425623
2.34855, 0.0294343, 0.0351377
3.10897, 0.0248331, 0.0304782
3.86869, 0.0218687, 0.0274689
4.64595, 0.0195278, 0.0251016
5.40931, 0.0175283, 0.0230864
6.17219, 0.0159649, 0.0214973
6.93668, 0.0148039, 0.0203112
7.70115, 0.0139456, 0.0194496
8.46099, 0.0132836, 0.0188086
9.2175, 0.0127325, 0.0183009
9.97857, 0.0122558, 0.0178739
10.737, 0.0118279, 0.0175003
11.4934, 0.0114428, 0.0171716
12.2545, 0.0110996, 0.016889
13.0322, 0.0107961, 0.0166488
13.7941, 0.0105273, 0.0164447
14.5642, 0.0102942, 0.0162812
15.3384, 0.0100885, 0.0161484
